place,mae,attempts
463,1242.294470,2
464,1242.508600,7
465,1242.921740,3
466,1243.441850,2
467,1247.258880,2
468,1247.682860,1
469,1247.782720,6
470,1252.888380,3
471,1252.952350,4
472,1253.150090,2
473,1254.726060,4
474,1257.586370,1
475,1261.411670,4
476,1266.662350,5
477,1269.098120,2
478,1270.217860,1
479,1271.134550,1
480,1271.427720,2
481,1274.516190,1
482,1275.885660,8
483,1277.460550,1
484,1278.354420,2
485,1278.631530,1
486,1278.661280,1
487,1279.009110,2
488,1280.920770,1
489,1281.221920,2
490,1281.350390,5
491,1281.350390,5
492,1285.636220,1
493,1286.368050,1
494,1286.395050,1
495,1287.585890,6
496,1288.888760,8
497,1289.449300,5
498,1290.309800,2
499,1290.415890,2
500,1290.978900,1
501,1291.015560,5
502,1291.800550,6
503,1292.405540,1
504,1292.879730,3
505,1293.507170,4
506,1293.758460,5
507,1294.424710,2
508,1295.079720,1
509,1296.592170,3
510,1297.197040,5
511,1297.417120,5
512,1299.582040,4
513,1302.839930,6
514,1302.897480,3
515,1306.322040,1
516,1306.525720,1
517,1308.077590,1
518,1308.425310,1
519,1309.434570,5
520,1310.831120,6
521,1315.416370,2
522,1315.736390,3
523,1317.298650,2
524,1318.408580,4
525,1319.713320,3
526,1319.734160,5
527,1320.480560,1
528,1320.529290,2
529,1321.807120,3
530,1321.889180,1
531,1321.985830,1
532,1324.079120,1
533,1324.286080,1
534,1326.441910,5
535,1329.859840,2
536,1337.381190,1
537,1339.193390,2
538,1342.399400,1
539,1342.399400,2
540,1342.416110,7
541,1342.752120,1
542,1346.272670,6
543,1347.546160,1
544,1349.730560,5
545,1351.484660,5
546,1352.069990,1
547,1360.584650,1
548,1360.856810,1
549,1364.645160,2
550,1365.194950,5
551,1365.270030,2
552,1371.782690,1
553,1375.640920,2
554,1379.471490,2
555,1385.203750,11
556,1391.255270,5
557,1393.106840,3
558,1397.787590,5
559,1422.646800,2
560,1440.764650,1
561,1444.644370,1
562,1456.202420,3
563,1456.240490,1
564,1457.957140,6
565,1461.791930,3
566,1461.791930,3
567,1463.104510,1
568,1478.638220,1
569,1478.667660,1
570,1487.887570,3
571,1503.318940,3
572,1521.645080,1
573,1521.794650,7
574,1523.194020,6
575,1539.819110,4
576,1560.866330,2
577,1564.435690,2
578,1579.811400,2
579,1620.494580,4
580,1664.975250,3
581,1699.519950,1
582,1724.618260,2
583,1739.413280,5
584,1742.854610,2
585,1748.594750,1
586,1773.500700,3
587,1773.831400,1
588,1777.724940,2
589,1778.095920,3
590,1783.894920,2
591,1783.942930,1
592,1787.660460,1
593,1810.338670,3
594,1892.493620,3
595,1894.240870,2
596,1894.573890,5
597,1899.554140,1
598,1906.486330,4
599,1908.170340,1
600,1915.593730,4
601,1922.887190,2
602,1927.901600,1
603,1927.919150,2
604,1927.928170,1
605,1927.961460,1
606,1927.961460,4
607,1927.961460,1
608,1928.079830,1
609,1930.124180,1
610,1932.361660,2
611,1932.434890,1
612,1932.938980,1
613,1934.201880,2
614,1935.374380,1
615,1936.546700,5
616,1936.776130,4
617,1938.263160,2
618,1939.784620,1
619,1939.784840,1
620,1939.785580,1
621,1955.562320,2
622,2003.319640,1
623,2005.047170,1
624,2007.951500,2
625,2015.126940,1
626,2032.674270,1
627,2102.523540,1
628,2118.261670,1
629,2202.286670,1
630,2312.487290,4
631,2657.415330,6
632,2919.745450,2
633,3005.177990,2
634,3013.700470,5
635,3019.714580,2
636,3019.714580,1
637,3019.714580,1
638,3019.714580,1
639,3019.714580,1
640,3019.714580,1
641,3019.714580,1
642,3019.714580,1
643,3019.714580,1
644,3019.714580,1
645,3019.714580,1
646,3019.714580,1
647,3019.714580,1
648,3019.714580,1
649,3019.714580,1
650,3019.714580,1
651,3019.714580,1
652,3019.714580,1
653,3019.714580,1
654,3019.714580,1
